Section,Phrase,Intent,Tags,Notes
Section 2: Mental Cue Logging,Saw the ball flight in my head,Cue.Visualization,,
Section 2: Mental Cue Logging,Said ‘smooth’ to myself,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Deep breath to reset,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Used my letting go cue,Cue.LettingGo,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said reset and stepped away,Cue.Reset,,
Section 2: Mental Cue Logging,Breathing helped me relax,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Mental script helped that time,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Slowed everything down with breath,Cue.DeepBreath,,
Section 2: Mental Cue Logging,I stayed positive with self-talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Saw the ball flight in my head,Cue.Visualization,,
Section 2: Mental Cue Logging,Told myself to commit,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said my word out loud this time,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Kept repeating ‘target’ in my head,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Kept repeating ‘target’ in my head,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Played the shot in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Didn’t dwell on it,Cue.LettingGo,,
Section 2: Mental Cue Logging,Wiped the last shot clean,Cue.Reset,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,Just needed to reboot after that miss,Cue.Reset,,
Section 2: Mental Cue Logging,I used imagery before that swing,Cue.Visualization,,
Section 2: Mental Cue Logging,Deep breath to stay present,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Mental script helped that time,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Deep breath to stay present,Cue.DeepBreath,,
Section 2: Mental Cue Logging,I clearly saw the target before hitting,Cue.Visualization,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Gave myself a little pep talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said reset and stepped away,Cue.Reset,,
Section 2: Mental Cue Logging,Focused on my breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Exhaled before I hit,Cue.DeepBreath,,
Section 2: Mental Cue Logging,I took a deep breath before that shot,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Talked myself down after that shot,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Mental script helped that time,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Didn’t carry frustration into the next one,Cue.LettingGo,,
Section 2: Mental Cue Logging,That key word helped me settle,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,Imagined the perfect draw,Cue.Visualization,,
Section 2: Mental Cue Logging,I whispered my trigger,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Gave myself a clean slate,Cue.LettingGo,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Mentally rehearsed it first,Cue.Visualization,,
Section 2: Mental Cue Logging,Gave myself a little pep talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Saw the ball flight in my head,Cue.Visualization,,
Section 2: Mental Cue Logging,Used a simple swing word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Reset after that mess,Cue.LettingGo,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,I whispered my trigger,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Gave myself a clean slate,Cue.LettingGo,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Deep breath to reset,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Told myself the one word that works,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Hit the reset button mentally,Cue.Reset,,
Section 2: Mental Cue Logging,That key word helped me settle,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Deep breath to reset,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Tried to calm myself with breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Tried to calm myself with breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Just moved on,Cue.LettingGo,,
Section 2: Mental Cue Logging,Saw the ball flight in my head,Cue.Visualization,,
Section 2: Mental Cue Logging,Played the shot in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Whispered my key phrase,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Used my letting go cue,Cue.LettingGo,,
Section 2: Mental Cue Logging,Just moved on,Cue.LettingGo,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,I took a deep breath before that shot,Cue.DeepBreath,,
Section 2: Mental Cue Logging,I said my cue phrase,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Focused on my breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Deep breath to stay present,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Exhaled before I hit,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Used my reset routine,Cue.Reset,,
Section 2: Mental Cue Logging,Visualized the shot,Cue.Visualization,,
Section 2: Mental Cue Logging,Let the emotion pass,Cue.LettingGo,,
Section 2: Mental Cue Logging,Just needed to reboot after that miss,Cue.Reset,,
Section 2: Mental Cue Logging,Tried to calm myself with breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Didn’t dwell on it,Cue.LettingGo,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Tried to release that last hole,Cue.LettingGo,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Used my letting go cue,Cue.LettingGo,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Said ‘smooth’ to myself,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Mental script helped that time,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Started fresh mentally,Cue.Reset,,
Section 2: Mental Cue Logging,Kept repeating ‘target’ in my head,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Tried to release that last hole,Cue.LettingGo,,
Section 2: Mental Cue Logging,Started fresh mentally,Cue.Reset,,
Section 2: Mental Cue Logging,I clearly saw the target before hitting,Cue.Visualization,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Hit the reset button mentally,Cue.Reset,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Saw the ball flight in my head,Cue.Visualization,,
Section 2: Mental Cue Logging,Tried to calm myself with breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Kept repeating ‘target’ in my head,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Tried to calm myself with breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Reminded myself of my routine,Cue.SelfTalk,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Created the picture before I swung,Cue.Visualization,,
Section 2: Mental Cue Logging,Used my reset routine,Cue.Reset,,
Section 2: Mental Cue Logging,Gave myself a clean slate,Cue.LettingGo,,
Section 2: Mental Cue Logging,I took a deep breath before that shot,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Reminded myself of my routine,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Didn’t dwell on it,Cue.LettingGo,,
Section 2: Mental Cue Logging,Told myself the one word that works,Cue.TriggerWord,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Gave myself a little pep talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,I talked myself into a good state,Cue.SelfTalk,,
Section 2: Mental Cue Logging,I used imagery before that swing,Cue.Visualization,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Deep breath to reset,Cue.DeepBreath,,
Section 2: Mental Cue Logging,I used imagery before that swing,Cue.Visualization,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Deep breath to reset,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Exhaled before I hit,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Mentally rehearsed it first,Cue.Visualization,,
Section 2: Mental Cue Logging,Said ‘smooth’ to myself,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Didn’t dwell on it,Cue.LettingGo,,
Section 2: Mental Cue Logging,I cleared my thoughts and hit reset,Cue.Reset,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,Used my letting go cue,Cue.LettingGo,,
Section 2: Mental Cue Logging,Used my trigger word before hitting,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Breathing helped me relax,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Mentally rehearsed it first,Cue.Visualization,,
Section 2: Mental Cue Logging,Breathing helped me relax,Cue.DeepBreath,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Talked myself down after that shot,Cue.SelfTalk,,
Section 2: Mental Cue Logging,I whispered my trigger,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Reminded myself of my routine,Cue.SelfTalk,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,That shot looked clear in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Started fresh mentally,Cue.Reset,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,That key word helped me settle,Cue.TriggerWord,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Whispered my key phrase,Cue.SelfTalk,,
Section 2: Mental Cue Logging,I said my cue phrase,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Used my reset routine,Cue.Reset,,
Section 2: Mental Cue Logging,Said ‘smooth’ to myself,Cue.TriggerWord,,
Section 2: Mental Cue Logging,I used imagery before that swing,Cue.Visualization,,
Section 2: Mental Cue Logging,Visualized the shot,Cue.Visualization,,
Section 2: Mental Cue Logging,Said reset and stepped away,Cue.Reset,,
Section 2: Mental Cue Logging,I said my cue phrase,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Focused on my breathing,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Gave myself a little pep talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Said ‘you’ve got this’ before swinging,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Told myself to commit,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Told myself the one word that works,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Played the shot in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Played the shot in my mind,Cue.Visualization,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,Said reset and stepped away,Cue.Reset,,
Section 2: Mental Cue Logging,Talked myself down after that shot,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,I stayed positive with self-talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Reset after that mess,Cue.LettingGo,,
Section 2: Mental Cue Logging,Whispered my key phrase,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Just needed to reboot after that miss,Cue.Reset,,
Section 2: Mental Cue Logging,Mentally rehearsed it first,Cue.Visualization,,
Section 2: Mental Cue Logging,Said my word out loud this time,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Gave myself a little pep talk,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Breathed in and held it,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Said my word out loud this time,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,I took a deep breath before that shot,Cue.DeepBreath,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Whispered my key phrase,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Didn’t carry frustration into the next one,Cue.LettingGo,,
Section 2: Mental Cue Logging,Just needed to reboot after that miss,Cue.Reset,,
Section 2: Mental Cue Logging,Said ‘one shot at a time’,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Wiped the last shot clean,Cue.Reset,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Reminded myself of my routine,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,I whispered my trigger,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Wiped the last shot clean,Cue.Reset,,
Section 2: Mental Cue Logging,I took a deep breath before that shot,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Told myself to commit,Cue.SelfTalk,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Let the emotion pass,Cue.LettingGo,,
Section 2: Mental Cue Logging,"Reset everything — posture, breath, mind",Cue.Reset,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Just moved on,Cue.LettingGo,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Just moved on,Cue.LettingGo,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Visualizing helped my confidence,Cue.Visualization,,
Section 2: Mental Cue Logging,Visualized the shot,Cue.Visualization,,
Section 2: Mental Cue Logging,Focused on my trigger word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Reset after that mess,Cue.LettingGo,,
Section 2: Mental Cue Logging,Used my trigger word before hitting,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Said ‘smooth’ to myself,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Imagined the perfect draw,Cue.Visualization,,
Section 2: Mental Cue Logging,Slowed everything down with breath,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Used a breath to slow down,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Whispered my key phrase,Cue.SelfTalk,,
Section 2: Mental Cue Logging,I whispered my trigger,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Let that bad shot go,Cue.LettingGo,,
Section 2: Mental Cue Logging,Didn’t carry frustration into the next one,Cue.LettingGo,,
Section 2: Mental Cue Logging,Used a simple swing word,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Did my mental reset,Cue.Reset,,
Section 2: Mental Cue Logging,Visualized the shot,Cue.Visualization,,
Section 2: Mental Cue Logging,Breathed in and held it,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Breathed in and held it,Cue.DeepBreath,,
Section 2: Mental Cue Logging,Just moved on,Cue.LettingGo,,
Section 2: Mental Cue Logging,Did a mental wipe,Cue.LettingGo,,
Section 2: Mental Cue Logging,I said my cue phrase,Cue.TriggerWord,,
Section 2: Mental Cue Logging,Created the picture before I swung,Cue.Visualization,,
Section 2: Mental Cue Logging,Reset after that mess,Cue.LettingGo,,
Section 2: Mental Cue Logging,Started fresh mentally,Cue.Reset,,
Section 2: Mental Cue Logging,I said my cue phrase,Cue.TriggerWord,,
